"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:isOrWasDocumentaryFormTypeOfSomeMembersOf","is or was documentary form type of some members of","est ou a été le type de document de certains membres de","es o era tipo documental de algunos miembros de","Connects a Documentary Form Type and a Record Set whose some past or present Record or Record Part members have that Documentary Form Type.",,,"isOrWasCategoryOfSomeMembersOf","DocumentaryFormType","RecordSet","hasOrHadSomeMemberswithDocumentaryFormType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasEmployerOf","is or was employer of","a ou a été l'employeur de","es o era empleador(a) de","Connects a Corporate Body or a Person to a Person who is or was their employee.",,,"isOrWasControllerOf","CorporateBody ; Person","Person","hasOrHadEmployer",,,"2023-10-19 : Adder for RiC-O v1.0. | 2023-10-26 : Changed the domain and range of the property. Added a rdfs:comment. Removed the 'has or had member' super-property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasEnforcedBy","is or was enforced by","est ou a été fait appliquer par","es o era una regla aplicada por","Connects a Rule to an Agent that enforces or enforced the Rule.",,"RiC-R066 ('is or was enforced by' relation)","isRuleAssociatedWith","Rule","Agent","isOrWasResponsibleForEnforcing",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasExpressedBy","is or was expressed by","est ou a été exprimé par","es o era una regla expresada en","Connects a Rule to a Record Resource that expresses or expressed the Rule.",,"RiC-R064 ('is or was expressed by' relation)","isRuleAssociatedWith","Rule","RecordResource","expressesOrExpressed",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasHolderOf","is or was holder of","détient ou a détenu","es o era conservador de","Connects an Agent to a Record Resource or Instantiation that the Agent holds or held.",,"RiC-R039 ('is or was holder of' relation)","isOrWasManagerOf","Agent","Instantiation ; RecordResource","hasOrHadHolder",,"thingIsSourceOfRelation/recordResourceHoldingRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceHoldingRelation_role object property."
"rico:isOrWasHolderOfIntellectualPropertyRightsOf","is or was holder of intellectual property rights of","détient ou a détenu les droits de propriété intellectuelle sur","es o era conservador de derechos de propiedad intelectual de","Connects an Agent to a Record Resource or Instantiation on which the Agent has or had some intellectual property rights.",,"RiC-R040 ('is or was holder of intellectual property rights of' relation)","hasOrHadAuthorityOver","Group ; Person ; Position","Instantiation ; RecordResource","hasOrHadIntellectualPropertyRightsHolder",,"thingIsSourceOfRelation/intellectualPropertyRightsRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new intellectualPropertyRightsRelation_role object property."
"rico:isOrWasIdentifierOf","is or was identifier of","est ou a été l’identifiant de","es o era identificador de","Connects an Identifier to a Thing that it identified or identifies.",,,"isOrWasAppellationOf","Identifier","Thing","hasOrHadIdentifier",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasIncludedIn","is or was included in","est ou a été inclus dans","está o estaba incluido en","Inverse of 'includes or included' object property.",,"RiC-R024i ('is or was included in' relation)","isOrWasPartOf; isRecordResourceAssociatedWithRecordResource","Record ; RecordSet","RecordSet","includesOrIncluded",,,"2023-06-05 : Made this object property a subproperty of isOrWasPartOf. | 2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasInstantiationOf","is or was instantiation of","est ou a été une instanciation de","es o era instanciación de","Inverse of 'has or had instantiation' object property.",,"RiC-R025i ('is or was instantiation of' relation)","isRelatedTo","Instantiation","RecordResource","hasOrHadInstantiation",,"thingIsTargetOfRelation/recordResourceToInstantiationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated the IRI, inverse property, definition, labels and RiCMCorrespondingComponent; this in order to make the specification compliant with RiC-CM 1.0. The name of the property in RiC-O 0.2 was 'is instantiation of'. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceToInstantiationRelation_role object property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasJurisdictionOf","is or was jurisdiction of","a ou a été le ressort de","es o era jurisdicción de","Connects a Place to an Agent that has or had jurisdiction over the Place.",,"RiC-R076 ('is or was jurisdiction of' relation)","isPlaceAssociatedWithAgent","Place","Agent","hasOrHadJurisdiction",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Made subproperty of new property isPlaceAssociatedWithAgent instead of its parent isPlaceAssociatedWith. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLanguageOf","is or was language of","est ou a été la langue de","es o era lengua de","Connects a Language to an Agent, Record or Record Part that uses or used it.",,,"isRelatedTo","Language","Agent ; Record ; RecordPart","hasOrHadLanguage",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLanguageOfAllMembersOf","is or was language of all members of","est ou a été la langue de tous les membres de","es o era lengua de todos los miembros de","Connects a Language and a Record Set whose all present or past Record or Record Part members use that Language.",,,"isRelatedTo","Language","RecordSet","hasOrHadAllMembersWithLanguage",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLanguageOfSomeMembersOf","is or was language of some members of","est ou a été la langue de certains membres de","es o era lengua de algunos miembros de","Connects a Language and a Record Set whose some present or past Record or Record Part members use that Language.",,,"isRelatedTo","Language","RecordSet","hasOrHadSomeMembersWithLanguage",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLeaderOf","is or was leader of","est ou a été le dirigeant de","es o era líder de","Connects a Person to the Group that Person leads or led in the past.",,"RiC-R042 ('is or was leader of' relation)","isOrWasControllerOf","Person","Group","hasOrHadLeader",,"thingIsSourceOfRelation/leadershipRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new leadershipRelation_role object property."
"rico:isOrWasLegalStatusOf","is or was legal status of","est ou a été le statut légal de","es o era status jurídico de","Connects a Legal Status to an Agent or Record Resource that it categorizes.","Connects a Legal Status to an Agent, Record or Record Part that it categorized or categorizes.",,"isOrWasCategoryOf","LegalStatus","Agent ; Record ; RecordPart","hasOrHadLegalStatus",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLegalStatusOfAllMembersOf","is or was legal status of all members of","est ou a été le statut légal de tous les membres de","es o era status jurídico de todos los miembros de","Connects a Legal Status and a Record Set whose all past or present Record or Record Part members have that Legal Status.",,,"isOrWasCategoryOfAllMembersOf","LegalStatus","RecordSet","hasOrHadAllMembersWithLegalStatus",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLegalStatusOfSomeMembersOf","is or was legal status of some members of","est ou a été le statut légal de certains membres de","es o era status jurídico de algunos miembros de","Connects a Legal Status and a Record Set whose some past or present Record or Record Part members have that Legal Status.",,,"isOrWasCategoryOfSomeMembersOf","LegalStatus","RecordSet","hasOrHadSomeMembersWithLegalStatus",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLocationOf","is or was location of","est ou a été la localisation de","es o era localización de","Connects a Place to a Thing that is or was located in the Place.",,"RiC-R075 ('is or was location of' relation)","isPlaceAssociatedWith","Place","Thing","hasOrHadLocation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasLocationOfAgent","is or was location of agent","est ou a été la localisation de l'agent","es o era localización de agente","Connects a Place to an Agent that is or was located in this Place.",,,"isOrWasLocationOf; isPlaceAssociatedWithAgent","Place","Agent","agentHasOrHadLocation",,,"2023-10-20 : Added for RiC-O 1.0. | 2023-10-26 : Renamed the property and added an rdfs:comment. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasMainSubjectOf","is or was main subject of","est ou a été le sujet principal de","es o era la materia principal de","Inverse of 'has or had main subject' object property.",,"RiC-R020i (is or was main subject of)","isOrWasSubjectOf","Thing","RecordResource","hasOrHadMainSubject",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasManagerOf","is or was manager of","est ou a été le gestionnaire de","es o era gestor de","Connects an Agent to a Record Resource or Instantiation that the Agent managed or manages.",,"RiC-R038 ('is or was manager of' relation)","hasOrHadAuthorityOver","Agent","Instantiation ; RecordResource","hasOrHadManager",,"thingIsSourceOfRelation/managementRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new managementRelation_role object property."
